,Clock (daily weight),Month,Time,Year,Daytype,Photovoltaics[MWh],Wind onshore[MWh],Wind offshore[MWh],PV + W / Residual Load,COVID,Oil Price
0,0.03366889782704881,1,00:00:00,2018,Wednesday,0,3030,987,0.41183104367439,0.0,67.78
1,0.031861953851825386,1,01:00:00,2018,Wednesday,0,3351,1009,0.4974897307165677,0.0,67.78
2,0.03067864453394016,1,02:00:00,2018,Wednesday,0,3736,1055,0.5940483570985741,0.0,67.78
3,0.029853386109053998,1,03:00:00,2018,Wednesday,0,4370,1064,0.7267620703490705,0.0,67.78
5,0.033733483268996424,1,05:00:00,2018,Wednesday,0,5377,1084,0.8643478260869565,0.0,67.78
7,0.050392577111544816,1,07:00:00,2018,Wednesday,0,6787,987,0.7706949539010608,0.0,67.78
8,0.053138742202797434,1,08:00:00,2018,Wednesday,28,7263,930,0.7809442386244894,0.0,67.78
9,0.04956330267039077,1,09:00:00,2018,Wednesday,436,7640,871,0.9009163226261202,0.0,67.78
10,0.04587455881016366,1,10:00:00,2018,Wednesday,989,7867,873,1.0317073170731708,0.0,67.78
11,0.04395691104224411,1,11:00:00,2018,Wednesday,1365,8094,875,1.1463117027176928,0.0,67.78
12,0.04129300844815107,1,12:00:00,2018,Wednesday,1544,8187,856,1.209113750571037,0.0,67.78
13,0.03994599709009995,1,13:00:00,2018,Wednesday,1416,8059,783,1.1470423795147042,0.0,67.78
14,0.04023472232522865,1,14:00:00,2018,Wednesday,1145,7630,870,1.0555981175440516,0.0,67.78
15,0.04147336708037889,1,15:00:00,2018,Wednesday,642,7601,943,0.9602759774200292,0.0,67.78
16,0.0431480129459247,1,16:00:00,2018,Wednesday,177,7329,932,0.8368541108796985,0.0,67.78
19,0.05229942772097364,1,19:00:00,2018,Wednesday,0,6264,965,0.6211014691983847,0.0,67.78
20,0.04810252613019338,1,20:00:00,2018,Wednesday,0,6206,969,0.6673177083333334,0.0,67.78
21,0.04286379749955585,1,21:00:00,2018,Wednesday,0,5962,946,0.6916992089716631,0.0,67.78
23,0.03500079974684613,1,23:00:00,2018,Wednesday,0,5123,1052,0.7057949479940565,0.0,67.78
24,0.034190979394810486,2,00:00:00,2018,Thursday,0,4991,1045,0.7614482149615239,0.0,68.6
