,Yearly Clock (cos),Yearly Clock (sin),Weekly Clock (cos),Weekly Clock (sin),Month,Time,Year,Daytype,Photovoltaics[MWh],Wind onshore[MWh],Wind offshore[MWh],PV + W / Residual Load,COVID,Oil Price
0,1.0,0.0,1.0,0.0,1,00:00:00,2018,Wednesday,0,3030,987,0.41183104367439,0.0,67.78
1,0.9999997434733578,0.0007162773335512,0.9993064321174476,0.0372378131567476,1,01:00:00,2018,Wednesday,0,3351,1009,0.4974897307165677,0.0,67.78
2,0.9999989738935628,0.001432554299614,0.9972266905426064,0.0744239724110513,1,02:00:00,2018,Wednesday,0,3736,1055,0.5940483570985741,0.0,67.78
3,0.99999769126101,0.0021488305307001,0.9937636601593964,0.1115068955114425,1,03:00:00,2018,Wednesday,0,4370,1064,0.7267620703490705,0.0,67.78
5,0.999993586840526,0.0035813793179913,0.9827088598870766,0.1851574916103643,1,05:00:00,2018,Wednesday,0,5377,1084,0.8643478260869565,0.0,67.78
7,0.999987430220329,0.0050139207555298,0.966203348064778,0.2577810896641056,1,07:00:00,2018,Wednesday,0,6787,987,0.7706949539010608,0.0,67.78
8,0.999983582339122,0.0057301877994285,0.9559340164022908,0.2935816007262455,1,08:00:00,2018,Wednesday,28,7263,930,0.7809442386244894,0.0,67.78
9,0.9999792214130536,0.0064464519034356,0.9443386744765724,0.3289748742500413,1,09:00:00,2018,Wednesday,436,7640,871,0.9009163226261202,0.0,67.78
10,0.9999743474443612,0.0071627127000693,0.9314334066011156,0.3639118149599442,1,10:00:00,2018,Wednesday,989,7867,873,1.0317073170731708,0.0,67.78
11,0.999968960435546,0.0078789698218497,0.9172361141345496,0.3983439605759721,1,11:00:00,2018,Wednesday,1365,8094,875,1.1463117027176928,0.0,67.78
12,0.9999630603893712,0.0085952229012988,0.9017664906490218,0.4322235490374715,1,12:00:00,2018,Wednesday,1544,8187,856,1.209113750571037,0.0,67.78
13,0.999956647308864,0.0093114715709406,0.8850459946125421,0.4655035847555807,1,13:00:00,2018,Wednesday,1416,8059,783,1.1470423795147042,0.0,67.78
14,0.9999497211973144,0.0100277154633013,0.8670978196231727,0.4981379038024911,1,14:00:00,2018,Wednesday,1145,7630,870,1.0555981175440516,0.0,67.78
15,0.9999422820582764,0.0107439542109096,0.8479468622363598,0.5300812379470827,1,15:00:00,2018,Wednesday,642,7601,943,0.9602759774200292,0.0,67.78
16,0.9999343298955664,0.011460187446297,0.8276196874300308,0.5612892774481072,1,16:00:00,2018,Wednesday,177,7329,932,0.8368541108796985,0.0,67.78
19,0.9999073953075196,0.0136088504044901,0.7598707449883437,0.650074188774527,1,19:00:00,2018,Wednesday,0,6264,965,0.6211014691983847,0.0,67.78
20,0.9998973910935526,0.0143250579163665,0.7351363818651186,0.6779192430210714,1,20:00:00,2018,Wednesday,0,6206,969,0.6673177083333334,0.0,67.78
21,0.9998868738789448,0.0150412580787248,0.7093822847743788,0.7048239312397687,1,21:00:00,2018,Wednesday,0,5962,946,0.6916992089716631,0.0,67.78
23,0.999864300469655,0.016473634885096,0.6549591513618692,0.755664283956401,1,23:00:00,2018,Wednesday,0,5123,1052,0.7057949479940565,0.0,67.78
24,0.999852244286554,0.0171898107942232,0.6263656073149049,0.7795294259827722,2,00:00:00,2018,Thursday,0,4991,1045,0.7614482149615239,0.0,68.6
25,0.9998396751259752,0.0179059778840616,0.5969032091320027,0.8023132548624115,2,01:00:00,2018,Thursday,0,4785,1061,0.7872340425531915,0.0,68.6
26,0.9998265929943672,0.0186221357871791,0.5666128251594078,0.8239841663314135,2,02:00:00,2018,Thursday,0,4598,1047,0.7746672155894058,0.0,68.6
27,0.9998129978984418,0.0193382841361488,0.5355364722720674,0.8445120998934172,2,03:00:00,2018,Thursday,0,4513,1024,0.7392523364485981,0.0,68.6
